id,bestdori_id,difficultyType,difficultyCustomName
1,13779,7,SORTING
2,13802,4,
12,20879,0,
13,21875,4,
14,22537,4,
16,25193,2,
17,25202,3,
18,25270,4,
21,27595,5,
24,28176,1,
25,28177,2,
26,28178,3,
27,28179,4,
30,28652,4,
31,28933,3,
32,28934,2,
33,28935,1,
35,29361,1,
44,29927,6,
45,30655,1,
46,30750,2,
47,30758,3,
48,30759,4,
49,30924,6,
50,47994,1,
51,31027,2,
52,31062,3,
53,31063,4,
54,47987,6,
55,32373,6,
56,33500,5,
57,122633,1,
58,122635,2,
59,122636,3,
60,122637,4,
61,37215,4,
62,41678,5,
63,40428,4,
64,44474,6,
65,46853,6,
66,47989,6,
67,48678,4,
68,48681,5,
69,48683,5,
72,49751,5,
75,51158,6,
76,52185,1,
77,52186,2,
78,52515,3,
79,52802,6,
86,55051,5,
87,55079,5,
89,56616,5,
90,57187,6,
91,57368,5,
94,59226,6,
95,59144,0,
100,64187,6,
111,70041,6,
112,68613,6,
113,70051,6,
116,71986,4,
125,73598,5,
126,75198,6,
129,73910,7,ANOTHER
130,74534,8,
131,75325,5,
135,78301,5,
138,80782,5,
139,80956,4,
140,81019,3,
141,83129,5,
142,83130,6,
144,86781,5,
145,86913,5,
148,92220,5,
149,95181,5,
150,99214,5,
151,97859,5,
152,100753,7,ULTIMATE
153,110440,5,
154,111110,7,EXPERT?
155,114745,5,
156,121570,5,
157,121971,5,
158,130082,1,
159,130084,2,
160,130085,3,
161,130086,4,
162,130094,5,
163,130333,6,
164,147895,5,
165,149321,5,
167,158308,6,
170,183458,7,APRILFOOLS
171,175654,4,
172,198661,3,
173,218966,8,
